ID,Department,Assigned_Floor,Assigned_Table,Assigned_Seat
10,AWB,Offsite,,
15,AWB,Offsite,,
22,AWB,Offsite,,
32,AWB,Offsite,,
36,AWB,Offsite,,
48,AWB,Offsite,,
52,AWB,Offsite,,
59,AWB,Offsite,,
63,AWB,Offsite,,
86,AWB,2,5.0,29.0
91,AWB,Offsite,,
96,AWB,Offsite,,
102,AWB,2,7.0,40.0
202,BRT,Offsite,,
207,BRT,Offsite,,
210,BRT,1,3.0,14.0
231,BRT,Offsite,,
234,BRT,Offsite,,
248,BRT,Offsite,,
261,BRT,Offsite,,
266,BRT,Offsite,,
273,BRT,1,4.0,20.0
283,BRT,Offsite,,
284,BRT,Offsite,,
87,EJL,Offsite,,
88,EJL,Offsite,,
92,EJL,Offsite,,
109,EJL,1,8.0,46.0
123,EJL,Offsite,,
129,EJL,Offsite,,
159,EJL,Offsite,,
165,EJL,1,7.0,41.0
168,EJL,Offsite,,
172,EJL,Offsite,,
175,EJL,Offsite,,
179,EJL,Offsite,,
189,EJL,Offsite,,
200,EJL,Offsite,,
166,FNF,Offsite,,
173,FNF,Offsite,,
177,FNF,Offsite,,
182,FNF,2,1.0,1.0
185,FNF,Offsite,,
188,FNF,2,8.0,47.0
190,FNF,Offsite,,
193,FNF,Offsite,,
211,FNF,2,5.0,25.0
224,FNF,Offsite,,
229,FNF,Offsite,,
295,HKZ,Offsite,,
314,HKZ,1,5.0,26.0
324,HKZ,1,8.0,43.0
341,HKZ,Offsite,,
342,HKZ,1,2.0,11.0
110,HSY,Offsite,,
111,HSY,Offsite,,
142,HSY,2,1.0,3.0
149,HSY,Offsite,,
199,HSY,Offsite,,
204,HSY,Offsite,,
213,HSY,Offsite,,
226,HSY,2,2.0,11.0
228,HSY,Offsite,,
233,HSY,Offsite,,
235,HSY,Offsite,,
238,HSY,Offsite,,
201,IHQ,Offsite,,
212,IHQ,2,2.0,9.0
219,IHQ,Offsite,,
220,IHQ,Offsite,,
222,IHQ,2,4.0,21.0
227,IHQ,Offsite,,
239,IHQ,Offsite,,
242,IHQ,Offsite,,
243,IHQ,Offsite,,
289,IHQ,Offsite,,
