ID,Department,Assigned_Floor,Assigned_Table,Assigned_Seat
1,Dept_A,Offsite,,
2,Dept_A,2,6.0,33.0
3,Dept_A,2,2.0,12.0
4,Dept_A,Offsite,,
5,Dept_A,Offsite,,
6,Dept_A,Offsite,,
7,Dept_A,2,7.0,41.0
8,Dept_A,Offsite,,
9,Dept_A,2,6.0,31.0
10,Dept_A,Offsite,,
11,Dept_A,Offsite,,
12,Dept_A,Offsite,,
13,Dept_A,Offsite,,
14,Dept_A,Offsite,,
15,Dept_A,Offsite,,
16,Dept_A,Offsite,,
17,Dept_A,2,1.0,5.0
18,Dept_A,Offsite,,
19,Dept_A,2,5.0,30.0
20,Dept_A,Offsite,,
21,Dept_A,Offsite,,
22,Dept_A,Offsite,,
23,Dept_A,Offsite,,
24,Dept_A,2,1.0,6.0
25,Dept_A,Offsite,,
26,Dept_A,Offsite,,
27,Dept_A,Offsite,,
28,Dept_A,Offsite,,
29,Dept_A,Offsite,,
30,Dept_A,Offsite,,
31,Dept_A,Offsite,,
32,Dept_A,2,6.0,35.0
33,Dept_A,Offsite,,
34,Dept_A,Offsite,,
35,Dept_A,Offsite,,
36,Dept_A,2,1.0,2.0
37,Dept_A,Offsite,,
38,Dept_A,Offsite,,
39,Dept_A,Offsite,,
40,Dept_A,Offsite,,
41,Dept_A,Offsite,,
42,Dept_A,Offsite,,
43,Dept_A,Offsite,,
44,Dept_A,Offsite,,
45,Dept_A,2,8.0,48.0
46,Dept_A,Offsite,,
47,Dept_A,Offsite,,
48,Dept_A,Offsite,,
49,Dept_A,Offsite,,
50,Dept_A,Offsite,,
51,Dept_A,Offsite,,
52,Dept_A,Offsite,,
53,Dept_A,Offsite,,
54,Dept_A,2,8.0,43.0
55,Dept_A,Offsite,,
56,Dept_A,Offsite,,
57,Dept_A,Offsite,,
58,Dept_A,Offsite,,
59,Dept_A,Offsite,,
60,Dept_A,Offsite,,
61,Dept_A,Offsite,,
62,Dept_A,Offsite,,
63,Dept_A,Offsite,,
64,Dept_A,Offsite,,
65,Dept_A,2,3.0,18.0
66,Dept_A,Offsite,,
67,Dept_A,Offsite,,
68,Dept_A,2,3.0,14.0
69,Dept_A,2,4.0,22.0
70,Dept_A,Offsite,,
71,Dept_A,Offsite,,
72,Dept_A,Offsite,,
73,Dept_A,Offsite,,
74,Dept_A,Offsite,,
75,Dept_A,Offsite,,
76,Dept_A,Offsite,,
77,Dept_A,Offsite,,
78,Dept_A,Offsite,,
79,Dept_A,Offsite,,
80,Dept_A,Offsite,,
81,Dept_A,Offsite,,
82,Dept_A,Offsite,,
83,Dept_A,2,5.0,28.0
84,Dept_A,2,2.0,7.0
85,Dept_A,2,7.0,38.0
86,Dept_A,Offsite,,
87,Dept_A,Offsite,,
88,Dept_A,Offsite,,
89,Dept_A,Offsite,,
90,Dept_A,Offsite,,
91,Dept_A,Offsite,,
92,Dept_A,Offsite,,
93,Dept_A,Offsite,,
94,Dept_A,Offsite,,
95,Dept_A,Offsite,,
96,Dept_A,2,5.0,26.0
97,Dept_A,2,8.0,45.0
98,Dept_A,2,3.0,17.0
99,Dept_A,Offsite,,
100,Dept_A,Offsite,,
101,Dept_A,Offsite,,
102,Dept_A,Offsite,,
103,Dept_A,Offsite,,
104,Dept_A,Offsite,,
105,Dept_A,Offsite,,
106,Dept_A,Offsite,,
107,Dept_A,Offsite,,
108,Dept_A,2,1.0,1.0
109,Dept_A,2,2.0,9.0
110,Dept_A,Offsite,,
111,Dept_B,Offsite,,
112,Dept_B,Offsite,,
113,Dept_B,Offsite,,
114,Dept_B,2,7.0,37.0
115,Dept_B,2,8.0,46.0
116,Dept_B,2,5.0,29.0
117,Dept_B,Offsite,,
118,Dept_B,Offsite,,
119,Dept_B,Offsite,,
