ID,Department,Preferred_in_office_days,Department_ID,Days_at_client_site,Number_of_employees_in_department
1,Dept_A,"Wed,Fri",1,1,110
2,Dept_A,"Mon,Wed",1,0,110
3,Dept_A,"Tue,Wed",1,2,110
4,Dept_A,"Wed,Mon",1,0,110
5,Dept_A,"Tue,Wed",1,2,110
6,Dept_A,"Fri,Tue",1,2,110
7,Dept_A,"Thu,Mon",1,1,110
8,Dept_A,"Mon,Wed",1,2,110
9,Dept_A,"Mon,Fri",1,0,110
10,Dept_A,"Wed,Tue",1,0,110
11,Dept_A,"Thu,Tue",1,2,110
12,Dept_A,"Mon,Fri",1,0,110
13,Dept_A,"Thu,Mon",1,1,110
14,Dept_A,"Mon,Tue",1,2,110
15,Dept_A,"Tue,Thu",1,2,110
16,Dept_A,"Fri,Thu",1,0,110
17,Dept_A,"Tue,Mon",1,0,110
18,Dept_A,"Mon,Tue",1,0,110
19,Dept_A,"Tue,Mon",1,0,110
20,Dept_A,"Fri,Thu",1,1,110
21,Dept_A,"Tue,Thu",1,0,110
22,Dept_A,"Mon,Fri",1,0,110
23,Dept_A,"Fri,Mon",1,1,110
24,Dept_A,"Tue,Thu",1,2,110
25,Dept_A,"Mon,Fri",1,0,110
26,Dept_A,"Fri,Thu",1,2,110
27,Dept_A,"Thu,Mon",1,2,110
28,Dept_A,"Tue,Fri",1,2,110
29,Dept_A,"Fri,Mon",1,0,110
30,Dept_A,"Wed,Mon",1,1,110
31,Dept_A,"Fri,Tue",1,2,110
32,Dept_A,"Wed,Mon",1,0,110
33,Dept_A,"Thu,Tue",1,0,110
34,Dept_A,"Wed,Fri",1,1,110
35,Dept_A,"Fri,Wed",1,1,110
36,Dept_A,"Tue,Fri",1,0,110
37,Dept_A,"Tue,Thu",1,2,110
38,Dept_A,"Mon,Fri",1,2,110
39,Dept_A,"Mon,Thu",1,1,110
40,Dept_A,"Tue,Mon",1,0,110
41,Dept_A,"Wed,Mon",1,0,110
42,Dept_A,"Thu,Wed",1,0,110
43,Dept_A,"Tue,Mon",1,0,110
44,Dept_A,"Mon,Thu",1,0,110
